textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox27,textbox297,textbox298,textbox28,textbox18
Status and Sub-Status by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,All,Status Category:,Fleet:,All,This report contains a spreadsheet of all the statuses that the specified hauling unit was in during the specified time period.

Textbox3,Textbox38,Textbox40,Textbox42,textbox4,FLT_DESC1,NAME,STATUSCAT_DESCRIP,STATUS_DESC,SUB_STATUS_DESC,DURATION1,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Down,O03 - Daily Service,,0.56,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N00 - Wait At Dump,,12.17,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N01 - Truck Loading,,31.18,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N03 - Empty,,129.84,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N03 - Empty,N031 - Empty Stopped,31.46,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N04 - Hauling,,45.93,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N04 - Hauling,N041 - Hauling Stopped,1.43,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N05 - Spot at LU,,1.23,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N06 - Queue At LU,,6.53,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N07 - Dumping,,4.54,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Net Operating,N09 - General Production,,0.00,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Standby,S03 - Schedule No Work,,10.71,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Standby,S04 - Unscheduled No Work,,1.71,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O01,Standby,S23 - Released from Maintanence,,0.25,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,D03 - Delay At Hopper,,13.37,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,S05 - Stuck in Mud,,0.04,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,S14 - Dump body not tripplling,,0.00,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,S19 - Tea/ Breakfast / Snacks,,70.78,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,S20 - Shift Change,,126.40,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Delay,S25 - Toilet Break,,4.62,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Down,O01 -  Down,,132.27,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N00 - Wait At Dump,,78.76,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N01 - Truck Loading,,54.12,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N02 - Wait At LU,,0.05,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N03 - Empty,,108.74,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N03 - Empty,N031 - Empty Stopped,58.45,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N04 - Hauling,,68.29,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N04 - Hauling,N041 - Hauling Stopped,2.36,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N05 - Spot at LU,,2.60,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,RD-O02,Net Operating,N06 - Queue At LU,,9.42,Total,7435.22,Grand Total,51923.57
