textbox1,textbox19,textbox20,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox8,textbox9,textbox18,Textbox2,Textbox3
Productivity TKPH-TMPH by Fleet and Hauling Unit,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,This report contains a spreadsheet showing the productivity of each hauling unit for the specified time period.  This report is grouped by fleet.,¹ Includes all time spent in statuses assigned to the [Truck Speed Productivity] status category.,* ( Quantity * (Empty Distance + Haul Distance) ) / Total Travel Time

FLEET_IDENT,Textbox39,Textbox40,Textbox41,Textbox42,Textbox11,Textbox34,Textbox47,EQUIP_IDENT,Textbox169,NUM_OF_LOADS,HAUL_DISTANCE,EMPTY_DISTANCE,Textbox6,Textbox7,QUANTITY_REPORTING,NUM_OF_LOADS1,HAUL_DISTANCE1,Textbox29,Textbox45,Textbox52
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD202,"66,076.85",799,"1,510.09","2,207.52",407.91,"6,02,210.27","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD203,"78,262.80",944,"1,849.71","2,391.91",453.46,"7,32,060.45","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD204,"65,709.25",843,"1,601.48","2,219.28",436.14,"5,75,639.45","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD205,"59,870.65",695,"1,173.03","1,886.04",347.58,"5,26,928.27","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD206,"76,955.55",952,"1,670.11","2,343.56",466.25,"6,62,464.30","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F03,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD207,"77,534.80",902,"1,551.01","2,470.37",428.91,"7,26,944.44","4,73,557.55","5,739","10,535.87","15,192.85","2,863.87","42,54,397.32"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD121,"41,470.53",563,"1,204.55","1,584.46",320.52,"3,60,858.08","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD122,"12,509.00",166,308.15,550.81,110.01,"97,666.91","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD123,"3,908.84",63,72.24,122.66,48.04,"15,856.70","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD126,"23,055.12",311,999.66,"1,113.39",229.92,"2,11,881.54","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD132,"18,317.69",240,506.74,677.67,137.46,"1,57,835.41","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD136,"1,487.80",23,46.58,76.28,21.13,"8,650.78","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD141,"36,909.31",572,"1,655.14","1,937.01",371.77,"3,56,628.24","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"
F04,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD143,"18,573.45",269,687.49,677.69,181.97,"1,39,338.92","1,56,231.74","2,207","5,480.53","6,739.97","1,420.83","13,43,742.37"

