textbox1,textbox21,textbox22,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox199,textbox20,textbox28,textbox29,textbox3333,textbox32,textbox33345,textbox333465,textbox18
Payload Statistics by Fleet and Hauling Unit Operator,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,Min Payload:,0,Max Payload:,99999999,Hauling Unit:,All,Crew:,All,This report contains a graph and a spreadsheet showing the payload amounts that each operator delivered for a specified time period.  This report is grouped by fleet.

PAYLOAD REPORTING_label,PAYLOAD REPORTING_Chart2_CategoryGroup_label,PAYLOAD REPORTING_Chart2_CategoryGroup_Value_Y
PAYLOAD REPORTING,269067,81.6981981981981981981981982
PAYLOAD REPORTING,269070,77.673888888888888888888888889
PAYLOAD REPORTING,269106,78.004694835680751173708920188
PAYLOAD REPORTING,269107,92.53686635944700460829493088
PAYLOAD REPORTING,269114,74.9460
PAYLOAD REPORTING,269122,83.41595092024539877300613497
PAYLOAD REPORTING,269130,86.36409090909090909090909091
PAYLOAD REPORTING,269140,86.88219178082191780821917808
PAYLOAD REPORTING,269141,85.35403225806451612903225806
PAYLOAD REPORTING,269144,81.28011363636363636363636364
PAYLOAD REPORTING,269155,83.07444444444444444444444444
PAYLOAD REPORTING,269160,88.14943181818181818181818182
PAYLOAD REPORTING,269181,77.8450
PAYLOAD REPORTING,269188,89.58305970149253731343283582
PAYLOAD REPORTING,269192,85.57181208053691275167785235
PAYLOAD REPORTING,269204,94.01637931034482758620689655
PAYLOAD REPORTING,269210,81.20643776824034334763948498
PAYLOAD REPORTING,269224,92.05647239263803680981595092
PAYLOAD REPORTING,269227,85.05454545454545454545454545
PAYLOAD REPORTING,269239,83.5000
PAYLOAD REPORTING,269240,91.67231182795698924731182796
PAYLOAD REPORTING,269248,67.481271186440677966101694915
PAYLOAD REPORTING,269335,86.61980645161290322580645161
PAYLOAD REPORTING,269368,93.96666666666666666666666667
PAYLOAD REPORTING,269400,75.995833333333333333333333333
PAYLOAD REPORTING,269402,45.2925
PAYLOAD REPORTING,269406,80.47079207920792079207920792
PAYLOAD REPORTING,269409,89.26153846153846153846153846
PAYLOAD REPORTING,269413,91.77935483870967741935483871
PAYLOAD REPORTING,269418,94.45103857566765578635014837
PAYLOAD REPORTING,269434,92.421875
PAYLOAD REPORTING,269435,92.40460317460317460317460317
PAYLOAD REPORTING,269450,85.77106598984771573604060914
PAYLOAD REPORTING,269454,89.4734177215189873417721519
PAYLOAD REPORTING,269457,82.70142180094786729857819905
PAYLOAD REPORTING,269463,84.45922330097087378640776699
PAYLOAD REPORTING,269465,90.8269662921348314606741573
PAYLOAD REPORTING,269497,82.40718954248366013071895425
PAYLOAD REPORTING,269553,79.64736842105263157894736842
PAYLOAD REPORTING,269633,78.316513761467889908256880734
PAYLOAD REPORTING,269718,84.12516556291390728476821192
PAYLOAD REPORTING,269779,85.52222222222222222222222222
PAYLOAD REPORTING,269783,86.31875
PAYLOAD REPORTING,269831,83.10484848484848484848484848
PAYLOAD REPORTING,269926,40.886923076923076923076923077
PAYLOAD REPORTING,269946,82.48723404255319148936170213
PAYLOAD REPORTING,269947,87.93454545454545454545454545
PAYLOAD REPORTING,269948,84.94040404040404040404040404
PAYLOAD REPORTING,269949,79.49464285714285714285714286
PAYLOAD REPORTING,269965,86.3400
PAYLOAD REPORTING,269981,85.64868613138686131386861314
PAYLOAD REPORTING,269982,82.45459459459459459459459459
PAYLOAD REPORTING,269993,86.43970588235294117647058824
PAYLOAD REPORTING,269996,79.090322580645161290322580645
PAYLOAD REPORTING,270029,83.9165625
PAYLOAD REPORTING,270037,83.95849056603773584905660377
PAYLOAD REPORTING,270040,88.00526315789473684210526316
PAYLOAD REPORTING,270041,78.263768115942028985507246377
PAYLOAD REPORTING,270044,88.68673469387755102040816327
PAYLOAD REPORTING,270046,87.50798076923076923076923077
PAYLOAD REPORTING,270047,93.31896551724137931034482759
PAYLOAD REPORTING,270051,84.71479289940828402366863905
PAYLOAD REPORTING,270107,80.80958333333333333333333333
PAYLOAD REPORTING,270170,84.84186046511627906976744186
PAYLOAD REPORTING,270175,87.12994791666666666666666667
PAYLOAD REPORTING,270185,76.339259259259259259259259259
PAYLOAD REPORTING,270193,42.7750
PAYLOAD REPORTING,270195,83.60754716981132075471698113
PAYLOAD REPORTING,270203,93.31666666666666666666666667
PAYLOAD REPORTING,270206,85.89934640522875816993464052
PAYLOAD REPORTING,270225,88.90369318181818181818181818
PAYLOAD REPORTING,270227,87.0000
PAYLOAD REPORTING,270229,81.32169312169312169312169312
PAYLOAD REPORTING,270240,76.951034482758620689655172414
PAYLOAD REPORTING,270298,90.89116279069767441860465116
PAYLOAD REPORTING,270300,92.34897142857142857142857143
PAYLOAD REPORTING,270335,87.71992481203007518796992481
PAYLOAD REPORTING,270406,85.87890625
PAYLOAD REPORTING,270547,77.086148648648648648648648649
PAYLOAD REPORTING,270548,89.50817120622568093385214008
